Cpo_Id;Billing_Agent_Keyword;Last_Update
DE*TBL;Smartlab;2024-12-01 00:00:00+00:00
DE*UEM;Smartlab;2024-12-01 00:00:00+00:00
DE*VEL;Smartlab;2024-12-01 00:00:00+00:00
DE*APM;Smartlab;2024-11-01 00:00:00+00:00
DE*CLE;Smartlab;2024-11-01 00:00:00+00:00
DE*AVG;Smartlab;2024-11-01 00:00:00+00:00
DE*707;Smartlab;2024-11-01 00:00:00+00:00
DE*070;Smartlab;2024-11-01 00:00:00+00:00
DE*SHI;Smartlab;2024-11-01 00:00:00+00:00
DE*HEG;Smartlab;2024-11-01 00:00:00+00:00
